tmrca,first_sample_date,last_sample_date,num_samples,samples,first_sister_tip,first_sister_date,known_duration,undetected_duration
2021-12-11,2022-01-02,2022-01-02,1,HongKong/HKU-220114-002/2022|2022-01-02,Panama/SEQ924-GMI/2022|2022-01-03,2022.005479,0,21.51412027
2021-12-03,2022-01-03,2022-01-03,1,HongKong/HKU-220114-005/2022|2022-01-03,Chile/RM-197474/2021|2021-12-24,2021.978082,0,31.08307564
2021-12-27,2022-01-11,2022-01-11,1,HongKong/HKU-220114-008/2022|2022-01-11,Peru/LIM-UPCH-2733/2022|2022-02-07,2022.10137,0,15.16522107
2021-12-11,2022-01-02,2022-01-02,1,HongKong/HKU-220213-334/2022|2022-01-02,Japan/PG-196947/2022|2022-01-20,2022.052055,0,21.80341785
2022-01-02,2022-01-11,2022-01-11,1,HongKong/HKU-220213-349/2022|2022-01-11,HongKong/WHP5176-S11-iseq/2022|2022-01-04,2022.008219,0,8.732751907
2022-01-03,2022-01-13,2022-01-13,1,HongKong/HKU-220213-350/2022|2022-01-13,HongKong/HK-HKPU-PU22TM213536/2022|2022-01-14,2022.035616,0,9.585957847
2022-01-03,2022-01-13,2022-01-13,1,HongKong/HKU-220213-356/2022|2022-01-13,HongKong/HK-HKPU-12992/2022|2022-01-12,2022.030137,0,9.815681135
2022-01-01,2022-01-13,2022-01-13,1,HongKong/HKU-220213-359/2022|2022-01-13,HongKong/HK-HKPU-13048/2022|2022-01-17,2022.043836,0,11.82154039
2021-12-31,2022-01-13,2022-01-13,1,HongKong/HKU-220213-360/2022|2022-01-13,USA/NY-CUIMC-NP-9348/2022|2022-01-02,2022.00274,0,12.66697657
2022-01-08,2022-01-18,2022-01-18,1,HongKong/HKU-220213-361/2022|2022-01-18,Haiti/68270113-ICGES/2021|2021-12-27,2021.986301,0,9.344190587
2022-01-01,2022-01-18,2022-01-18,1,HongKong/HKU-220213-362/2022|2022-01-18,Jamaica/JAM-UWIMicro-0558/2022|2022-03-03,2022.167123,0,16.42189107
2022-01-03,2022-01-20,2022-01-20,1,HongKong/HKU-220213-374/2022|2022-01-20,HongKong/HK-HKPU-13057/2022|2022-01-18,2022.046575,0,16.62332449
2021-12-26,2022-01-20,2022-01-20,1,HongKong/HKU-220213-376/2022|2022-01-20,Italy/LAZ-AMC-220201826-DS/2022|2022-02-01,2022.084932,0,24.487802
2021-12-15,2022-01-20,2022-01-20,1,HongKong/HKU-220213-378/2022|2022-01-20,Switzerland/TG-ETHZ-35705036/2022|2022-01-12,2022.030137,0,35.49100584
2022-01-10,2022-01-20,2022-01-20,1,HongKong/HKU-220213-381/2022|2022-01-20,HongKong/HK-HKPU-12941/2022|2022-01-10,2022.024658,0,9.67433972
2021-12-21,2022-01-20,2022-01-20,1,HongKong/HKU-220213-382/2022|2022-01-20,HongKong/WHP5483-S20-iseq/2022|2022-01-07,2022.016438,0,29.57154224
2021-11-22,2022-01-20,2022-01-20,1,HongKong/HKU-220213-384/2022|2022-01-20,Seychelles/SS5658/2021|2021-12-29,2021.991781,0,59.19479023
