date	k	generation_time	prevalence	prevalence_Upper	prevalence_Lower
2022-03-05	0.1	2	146104.69797426238	393760.73999036144	50747.15764418448
2022-03-06	0.1	2	148407.3784707417	389996.8520775419	52709.71018662946
2022-03-07	0.1	2	150785.62045897896	386436.60572876944	54698.507946460755
2022-03-08	0.1	2	153182.70735037434	382923.4664988855	56694.28049386494
2022-03-09	0.1	2	158816.2253865248	387300.6156733376	59911.220590235185
2022-03-10	0.1	2	157369.20100283864	385259.2050674096	59793.51678402616
2022-03-11	0.1	2	156630.2069262035	384969.6692542614	59950.167855103806
2022-03-12	0.1	2	152168.3568410034	375519.15267544705	58678.773120424725
2022-03-13	0.1	2	151195.18968253408	374664.7777037466	58748.87961298635
2022-03-14	0.1	2	149139.489905768	371138.9423837486	58401.54264211575
2022-03-15	0.1	2	145531.63134733366	363733.72707303317	57441.56613383345
2022-03-16	0.1	2	147688.78389176092	370766.83740168245	58765.56217392446
2022-03-17	0.1	2	148516.9578781145	382171.2602362523	60417.412019896525
2022-03-18	0.1	2	147704.51157455513	389457.23105460516	61416.49377956968
2022-03-19	0.1	2	142982.9805049703	386185.34782792843	60754.611673751664
2022-03-20	0.1	2	147505.6448953873	407974.10206932406	64033.82400057596
2022-03-21	0.1	2	146444.59633394328	414650.56474118354	64936.0565652662
2022-03-22	0.1	2	155178.51082238473	449679.40197552316	70269.23637260852
2022-03-23	0.1	2	154345.01175774765	457624.130063282	71360.84645008972
2022-03-24	0.1	2	149215.75135363097	433072.8867289761	68816.0129981028
2022-03-25	0.1	2	144086.4909495143	408521.6433946702	66271.17954611588
2022-03-26	0.1	2	139077.51681374645	384302.77834970114	63781.50986169313
2022-03-27	0.1	2	130815.30823600423	351328.10968744487	59804.22796652747
2022-03-28	0.1	2	136759.1275881891	355840.7367584415	62309.102454027634
2022-03-29	0.1	2	123569.4493330476	310316.6700574466	56091.845738168166
2022-03-30	0.1	2	120405.36486865528	290506.88607135526	54435.47169460105
2022-03-31	0.1	2	112709.43783165677	273374.08093351877	50931.47456275723
2022-04-01	0.1	2	103264.46848574505	252021.2907865118	46636.73240718988
2022-04-02	0.1	2	93905.16169881259	230879.1141497222	42380.65090607585
2022-04-03	0.1	2	90289.23039574451	223988.85607143937	40714.38095903031
2022-04-04	0.1	2	75190.06548648766	188616.40459795707	33869.85212277125
2022-04-05	0.1	2	67248.10141678854	171096.9671503833	30251.06598637159
2022-04-06	0.1	2	57200.144161763594	148265.4688079072	25684.12169173289
2022-04-07	0.1	2	50590.38673374652	131362.9114203634	22682.892883470395
2022-04-08	0.1	2	43980.62930572944	114460.35403281962	19681.664075207897
2022-04-09	0.1	2	37370.871877712365	97557.79664527584	16680.435266945402
2022-04-10	0.1	2	30761.11444969529	80655.23925773204	13679.206458682904
2022-04-11	0.1	2	25329.7860758391	66863.39786552843	11198.993471255708
2022-04-12	0.1	2	17245.450491239135	46059.169117381854	7547.1447962449165
2022-04-13	0.1	2	11047.990576363549	30265.753387063673	4725.196402525285
2022-01-06	0.1	3	51.007599935090006	381.08889042228105	10.09818668671467
2022-01-07	0.1	3	53.983405014977166	366.0621019583789	10.832627121516488
2022-01-08	0.1	3	57.02921181743273	352.245189833308	11.57824735207784
2022-01-09	0.1	3	60.21650019244426	339.79297223872516	12.35067746362533
2022-01-10	0.1	3	63.73748685760855	329.4034580424654	13.19084983182107
2022-01-11	0.1	3	67.25163933787933	318.98286946231275	14.02959126792144
2022-01-12	0.1	3	70.77249571084668	308.5978844015738	14.869716382289605
2022-01-13	0.1	3	74.30487057910624	298.2599554656982	15.712273960181953
2022-01-14	0.1	3	88.93283998285041	311.32384872746155	24.89819453451696
2022-01-15	0.1	3	103.54031494724096	324.3235464219572	34.07736994304881
2022-01-16	0.1	3	118.1887787903388	337.45163525098815	43.27003568318697
2022-01-17	0.1	3	132.81694064629946	350.51603641172716	52.45603226649814
2022-01-18	0.1	3	147.42781625367692	363.5377452666447	61.63481092545236
2022-01-19	0.1	3	162.09469928503555	376.6944697346351	70.83741705020785
2022-01-20	0.1	3	177.2904214775762	391.00791484060903	80.2807758235855
2022-01-21	0.1	3	363.15386428391855	671.0010185820049	207.6840993070256
2022-01-22	0.1	3	537.6227663899869	925.0203274865019	330.20848013619997
2022-01-23	0.1	3	711.9999162837264	1178.6610673698935	452.74996044287803
2022-01-24	0.1	3	883.2179389474594	1427.1111289303647	573.2696151391796
2022-01-25	0.1	3	1056.3161299229353	1678.6735849633624	694.9848668319205
2022-01-26	0.1	3	1226.3563515738977	1925.43484517671	814.6687242818115
2022-01-27	0.1	3	1402.5105056944617	2181.795255427418	938.4140680680051
2022-01-28	0.1	3	1522.0978810284741	2384.7752150613305	1001.92659852385
2022-01-29	0.1	3	1641.6852563624864	2587.7551746952436	1065.4391289796947
2022-01-30	0.1	3	1763.542315824596	2794.331447089667	1130.406495908154
2022-01-31	0.1	3	1880.259404396976	2992.759130646942	1192.0834081584703
2022-02-01	0.1	3	1988.7108183024827	3177.9401407639302	1248.607943058339
2022-02-02	0.1	3	2050.434022604508	3288.0636921700343	1276.170422434307
2022-02-03	0.1	3	2165.3229653572034	3483.1373712313302	1337.1208803134
2022-02-04	0.1	3	2101.759548921816	3303.8125439040264	1336.3035159293565
2022-02-05	0.1	3	2057.1108974729373	3154.938069105657	1347.1543122528835
